"taxonID","description","type","source","language"
"rinse-pathways-checklist:taxon:01343a3f4feb581bf8c6d74354c7c561","Europe (WGSRPD:1)","native range","http://www.europe-aliens.org | http://www.nederlandsesoorten.nl","en"
"rinse-pathways-checklist:taxon:047bea1a4e448882ec99d9a33cc3bbea","Northern America (WGSRPD:7)","native range","http://www.cabi.org/isc | http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf","en"
"rinse-pathways-checklist:taxon:047bea1a4e448882ec99d9a33cc3bbea","Southern America (WGSRPD:8)","native range","http://www.cabi.org/isc | http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf","en"
"rinse-pathways-checklist:taxon:047bea1a4e448882ec99d9a33cc3bbea","cbd_2014_pathway:stowaway","pathway","http://www.cabi.org/isc | http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf","en"
"rinse-pathways-checklist:taxon:047bea1a4e448882ec99d9a33cc3bbea","cbd_2014_pathway:contaminant","pathway","http://www.cabi.org/isc | http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf","en"
"rinse-pathways-checklist:taxon:04f9665a7644749f1e34d90ec21eb31f","Asia","native range","http://www.nobanis.org | http://www.nederlandsesoorten.nl | http://en.wikipedia.org/wiki/Main_Page","en"
"rinse-pathways-checklist:taxon:04f9665a7644749f1e34d90ec21eb31f","Europe (WGSRPD:1)","native range","http://www.nobanis.org | http://www.nederlandsesoorten.nl | http://en.wikipedia.org/wiki/Main_Page","en"
"rinse-pathways-checklist:taxon:06bae93b7cb92044c0c2c0f3d9a36e9d","Africa (WGSRPD:2)","native range","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | https://doi.org/10.1111/j.1523-1739.2009.01249.x | www.animalbase.uni-goettingen.de","en"
"rinse-pathways-checklist:taxon:06bae93b7cb92044c0c2c0f3d9a36e9d","Europe (WGSRPD:1)","native range","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | https://doi.org/10.1111/j.1523-1739.2009.01249.x | www.animalbase.uni-goettingen.de","en"
"rinse-pathways-checklist:taxon:06bae93b7cb92044c0c2c0f3d9a36e9d","cbd_2014_pathway:stowaway","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | https://doi.org/10.1111/j.1523-1739.2009.01249.x | www.animalbase.uni-goettingen.de","en"
"rinse-pathways-checklist:taxon:06bae93b7cb92044c0c2c0f3d9a36e9d","cbd_2014_pathway:contaminant","pathway","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | https://doi.org/10.1111/j.1523-1739.2009.01249.x | www.animalbase.uni-goettingen.de","en"
"rinse-pathways-checklist:taxon:073e0f359c3485fc1346c6c04dd78a94","Southern America (WGSRPD:8)","native range","http://www.cabi.org/isc | http://www.issg.org/database | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf","en"
"rinse-pathways-checklist:taxon:073e0f359c3485fc1346c6c04dd78a94","cbd_2014_pathway:stowaway","pathway","http://www.cabi.org/isc | http://www.issg.org/database | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf","en"
"rinse-pathways-checklist:taxon:073e0f359c3485fc1346c6c04dd78a94","cbd_2014_pathway:contaminant","pathway","http://www.cabi.org/isc | http://www.issg.org/database | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf","en"
"rinse-pathways-checklist:taxon:0773644ec687af9edc140218e4af2adf","Africa (WGSRPD:2)","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:0773644ec687af9edc140218e4af2adf","cbd_2014_pathway:escape","pathway","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.unep-aewa.org/sites/default/files/document/tc8_25_review_non_native_species_0.pdf","en"
"rinse-pathways-checklist:taxon:0ab6daf4ae91b34b92171a41587f0fa7","Europe (WGSRPD:1)","native range","https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nederlandsesoorten.nl | www.animalbase.uni-goettingen.de","en"
"rinse-pathways-checklist:taxon:0b7deda89c2ce2b3d771dec643e4d446","Northern America (WGSRPD:7)","native range","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://www.nederlandsesoorten.nl | http://www.fao.org/fishery/introsp/search/en | https://doi.org/10.1007/978-3-540-79236-9_29 | http://www.repository.naturalis.nl/document/41874 | https://doi.org/10.3391/ai.2013.8.1.02","en"
