"taxonID","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","eventDate","source"
"rinse-pathways-checklist:taxon:01343a3f4feb581bf8c6d74354c7c561","ISO_3166-2:BE","Belgium","BE","present","introduced","","http://www.europe-aliens.org | http://www.nederlandsesoorten.nl"
"rinse-pathways-checklist:taxon:01343a3f4feb581bf8c6d74354c7c561","ISO_3166-2:NL","The Netherlands","NL","present","introduced","","http://www.europe-aliens.org | http://www.nederlandsesoorten.nl"
"rinse-pathways-checklist:taxon:047bea1a4e448882ec99d9a33cc3bbea"," WGSRPD:GRB","Great Britain","GB","present","introduced","1909/2016","http://www.cabi.org/isc | http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf"
"rinse-pathways-checklist:taxon:047bea1a4e448882ec99d9a33cc3bbea","ISO_3166-2:FR","France","FR","present","introduced","1973/2016","http://www.cabi.org/isc | http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf"
"rinse-pathways-checklist:taxon:047bea1a4e448882ec99d9a33cc3bbea","ISO_3166-2:BE","Belgium","BE","present","introduced","1900/2016","http://www.cabi.org/isc | http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf"
"rinse-pathways-checklist:taxon:047bea1a4e448882ec99d9a33cc3bbea","ISO_3166-2:NL","The Netherlands","NL","present","introduced","1920/2016","http://www.cabi.org/isc | http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf"
"rinse-pathways-checklist:taxon:04f9665a7644749f1e34d90ec21eb31f","ISO_3166-2:NL","The Netherlands","NL","present","introduced","2007/2016","http://www.nobanis.org | http://www.nederlandsesoorten.nl | http://en.wikipedia.org/wiki/Main_Page"
"rinse-pathways-checklist:taxon:06bae93b7cb92044c0c2c0f3d9a36e9d"," WGSRPD:GRB","Great Britain","GB","present","introduced","1931/2016","http://www.europe-aliens.org | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | https://doi.org/10.1111/j.1523-1739.2009.01249.x | www.animalbase.uni-goettingen.de"
"rinse-pathways-checklist:taxon:073e0f359c3485fc1346c6c04dd78a94"," WGSRPD:GRB","Great Britain","GB","present","introduced","1916/2016","http://www.cabi.org/isc | http://www.issg.org/database | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf"
"rinse-pathways-checklist:taxon:073e0f359c3485fc1346c6c04dd78a94","ISO_3166-2:FR","France","FR","present","introduced","","http://www.cabi.org/isc | http://www.issg.org/database | https://secure.fera.defra.gov.uk/nonnativespecies/home/index.cfm | http://alienplantsbelgium.be/sites/alienplantsbelgium.be/files/tabel_2.pdf"
